Campaign,Ad Group,Keyword,Match Type,Max CPC
Man With A Van - Exact Match,Wotton-under-Edge - Man With Van,[man and van wotton-under-edge],Exact,
Man With A Van - Exact Match,Reepham - Man With Van,[man and van reepham],Exact,
Man With A Van - Exact Match,Banbury - Man With Van,[man and van banbury],Exact,
Man With A Van - Exact Match,Dark - Man With Van,[man and van dark],Exact,
Man With A Van - Exact Match,Fordwich - Man With Van,[man and van fordwich],Exact,
Man With A Van - Exact Match,Clevedon - Man With Van,[man and van clevedon],Exact,
Man With A Van - Exact Match,Dundee - Man With Van,[man and van dundee],Exact,
Man With A Van - Exact Match,Epsom and Ewell - Man With Van,[man and van epsom and ewell],Exact,
Man With A Van - Exact Match,Falkirk - Man With Van,[man and van falkirk],Exact,
Man With A Van - Exact Match,North Tawton - Man With Van,[man and van north tawton],Exact,
Man With A Van - Exact Match,Raunds - Man With Van,[man and van raunds],Exact,
Man With A Van - Exact Match,Wooler - Man With Van,[man and van wooler],Exact,
Man With A Van - Exact Match,Rugeley - Man With Van,[man and van rugeley],Exact,
Man With A Van - Exact Match,Acton - Man With Van,[man and van acton],Exact,
Man With A Van - Exact Match,Billericay - Man With Van,[man and van billericay],Exact,
Man With A Van - Exact Match,Livingston - Man With Van,[man and van livingston],Exact,
Man With A Van - Exact Match,Mildenhall - Man With Van,[man and van mildenhall],Exact,
Man With A Van - Exact Match,Needham Market - Man With Van,[man and van needham market],Exact,
Man With A Van - Exact Match,Holt - Man With Van,[man and van holt],Exact,
Man With A Van - Exact Match,Newark-on-Trent - Man With Van,[man and van newark-on-trent],Exact,
Man With A Van - Exact Match,Padstow - Man With Van,[man and van padstow],Exact,
Man With A Van - Exact Match,Standard - Man With Van,[man and van standard],Exact,
Man With A Van - Exact Match,Tow Law - Man With Van,[man and van tow law],Exact,
Man With A Van - Exact Match,Petworth - Man With Van,[man and van petworth],Exact,
Man With A Van - Exact Match,Warwick - Man With Van,[man and van warwick],Exact,
Man With A Van - Exact Match,Wrexham - Man With Van,[man and van wrexham],Exact,
Man With A Van - Exact Match,Bentham - Man With Van,[man and van bentham],Exact,
Man With A Van - Exact Match,Llanidloes - Man With Van,[man and van llanidloes],Exact,
Man With A Van - Exact Match,Felixstowe - Man With Van,[man and van felixstowe],Exact,
Man With A Van - Exact Match,Newcastle Emlyn - Man With Van,[man and van newcastle emlyn],Exact,
Man With A Van - Exact Match,Penrhyn Bay - Man With Van,[man and van penrhyn bay],Exact,
Man With A Van - Exact Match,Woburn - Man With Van,[man and van woburn],Exact,
Man With A Van - Exact Match,Widnes - Man With Van,[man and van widnes],Exact,
Man With A Van - Exact Match,Woodley - Man With Van,[man and van woodley],Exact,
Man With A Van - Exact Match,Brewood - Man With Van,[man and van brewood],Exact,
Man With A Van - Exact Match,Callington - Man With Van,[man and van callington],Exact,
Man With A Van - Exact Match,Llandrindod Wells - Man With Van,[man and van llandrindod wells],Exact,
Man With A Van - Exact Match,Lytham St Annes - Man With Van,[man and van lytham st annes],Exact,
Man With A Van - Exact Match,Crowle - Man With Van,[man and van crowle],Exact,
Man With A Van - Exact Match,Irvine - Man With Van,[man and van irvine],Exact,
Man With A Van - Exact Match,Leyton - Man With Van,[man and van leyton],Exact,
Man With A Van - Exact Match,Malmesbury - Man With Van,[man and van malmesbury],Exact,
Man With A Van - Exact Match,Wood Green - Man With Van,[man and van wood green],Exact,
Man With A Van - Exact Match,Bearsden - Man With Van,[man and van bearsden],Exact,
Man With A Van - Exact Match,Biddulph - Man With Van,[man and van biddulph],Exact,
Man With A Van - Exact Match,Bingham - Man With Van,[man and van bingham],Exact,
Man With A Van - Exact Match,Elland - Man With Van,[man and van elland],Exact,
Man With A Van - Exact Match,Minehead - Man With Van,[man and van minehead],Exact,
Man With A Van - Exact Match,Corsham - Man With Van,[man and van corsham],Exact,
Man With A Van - Exact Match,Crediton - Man With Van,[man and van crediton],Exact,
Man With A Van - Exact Match,Hedge End - Man With Van,[man and van hedge end],Exact,
Man With A Van - Exact Match,Mobile view - Man With Van,[man and van mobile view],Exact,
